group,Acetatifactor,Acinetobacter,Aeromicrobium,Aureibacillus,Beggiatoa,Breznakibacter,Catenococcus,Clostridia_vadinBB60_group,Coprococcus,Corynebacterium,Dorea,Dubosiella,Eggerthella,Enterorhabdus,Erysipelotrichaceae_incertae_sedis,Escherichia-Shigella,Eubacterium_eligens_group,Eubacterium_fissicatena_group,Faecalibacillus,Faecalibacterium,Finegoldia,Halomonas,Holdemanella,IMCC26256,Kiloniella,Kineothrix,Lachnoclostridium,Lachnospiraceae_UCG-003,Lachnospiraceae_UCG-008,Leptotrichia,Leuconostoc,Limnohabitans,Megasphaera,Mobiluncus,Muribaculum,Neisseria,Parabacteroides,Parasutterella,Prevotellaceae_UCG-001,Rikenellaceae_RC9_gut_group,Ruminococcus,Schleiferia,Slackia,Steroidobacter,Thauera,Truepera,Tyzzerella,UCG-002,UCG-005
0,0,0,0,0,0,0,0,0,1.35598585975835,0.0158286287131325,0.480135070965019,0,0,0,0,0,0,0,0.357023514307322,6.35079758701349,0.16532123322605,0,0,0,0.0492446226630788,0,0,0,0,0,0,0,0,0.330642466452101,0.00703494609472555,0,1.17483599781917,0.327124993404738,0,0,18.7833060729172,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.226173763843394,0.0545936671346124,0.074091405396974,0,0,0,0,0,0,0,0.00584932147870847,0.937841210419591,2.34947746061457,0,0,0,0.00584932147870847,0,0,0,0,0,0,0,0,0.0974886913118078,0.928092341288411,0,2.10770550616129,0.037045702698487,0,0,0.134534394010295,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0222580824661955,0.0537903659599725,0.0760484484261681,0,0,0,0,0,0,0,0.00556452061654888,0.307903474115705,0.185484020551629,0,0,0,0.00556452061654888,0,0,0,0,0,0,0,0,0.536048819394209,0.107580731919945,0,0.664032793574834,0.0222580824661955,0,0,0.094596850481331,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.215637728615925,0.0159731650826611,0.327449884194553,0,0,0,0,0,0,0,0.0111812155578628,4.0252376008306,2.08290072677901,0,0,0,0.00159731650826611,0,0,0,0,0,0,0,0,1.72669914543567,0.00958389904959668,0,4.30157335676064,0.0239597476239917,0,0,0.559060777893139,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0628642302529861,0.382282481268158,0.912380855293338,0,0,0,0,0,0,0,0.0118932327505649,5.74273238527278,0.885196323292047,0,0,0,0.0118932327505649,0,0,0,0,0,0,0,0,1.1978184413069,0.0101941995004842,0,3.53229012691778,0.0237864655011299,0,0,0.103641028254923,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.296134103880254,0.0197422735920169,0.988908431745576,0,0,0,0,0,0,0,0.274597078143508,7.48411644351915,0.473814566208407,0,0,0,0.0215370257367458,0,0,0,0,0,0,0,0,0.172296205893966,0.0107685128683729,0,6.459312968879,0.0969166158153559,0,0,5.98729315481532,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.102939494452705,0.00857829120439208,0.0200160128102482,0,0,0,0,0,0,0,0,0.460368294635709,1.90724007777651,0,0,0,0.0343131648175683,0,0,0,0,0,0,0,0,1.34679171908956,0.0571886080292806,0,0.325975065766899,0.0200160128102482,0,0,0.194441267299554,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.351824330472233,0.0379121045767493,0.366989172302933,0,0,0,0,0,0,0,0.336659488641533,2.12307785629796,2.70844075096297,0,0,0,0.00758242091534985,0,0,0,0,0,0,0,0,2.16553941342392,0.178945133602257,0,0.388219950865912,0.154681386673137,0,0,0.905341057292772,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.126906109622706,0.249783453860564,0.249783453860564,0,0,0,0,0,0,0,0.0564027153878694,3.43855125596761,5.93235702918841,0,0,0,0.00604314807727172,0,0,0,0,0,0,0,0,0.245754688475717,0.0261869750015108,0,1.61352053663155,0.658703140422618,0,0,0.356545736559031,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.556970082749841,0.103437301082113,0.143220878421388,0,0,0,0,0,0,0,0.0397835773392743,2.65754296626353,0.445576066199873,0,0,0,0.00795671546785487,0,0,0,0,0,0,0,0,1.3049013367282,0.103437301082113,0,0.477402928071292,0.0556970082749841,0,0,2.56206238064927,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.85709896562319,0.0221896016113065,0.375516334960571,0,0,0,0,0,0,0,0.244085617724371,11.0965076980849,0.269689004198955,0,0,0,0.00170689243163896,0,0,0,0,0,0,0,0,1.17946267026252,0.00853446215819479,0,2.11483972280067,0.109241115624893,0,0,1.95609872665825,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.422432629278951,0.0291332847778587,0.961398397669337,0,0,0,0,0,0,0,0,12.0029133284778,3.71449380917698,0,0,0,0.0145666423889294,0,0,0,0,0,0,0,0,0.0291332847778587,0,0,1.16533139111435,0.0436999271667881,0,0,0.101966496722505,0,0,0,0,0,0,0,0
