,Sample accession
802,DRR207837
803,DRR207838
804,DRR207839
805,DRR207840
806,DRR207841
807,DRR207842
808,DRR207843
809,DRR207844
810,DRR207845
811,DRR207846
812,DRR207847
813,DRR207848
814,DRR207849
815,DRR207850
816,DRR207875
817,DRR207877
818,DRR207878
819,SRR10420132
820,SRR10420133
821,SRR10420134
822,SRR10420135
823,SRR10420136
824,SRR10420137
825,SRR10420138
826,SRR10420139
827,SRR10420140
828,SRR10420141
829,SRR10420142
830,SRR10420143
831,SRR10420144
832,SRR10420145
833,SRR10420146
834,SRR10420147
835,SRR10420148
836,SRR10420149
837,SRR10420150
838,SRR10420151
839,SRR10420152
840,SRR10420153
841,SRR10420154
842,SRR10420155
843,SRR10420156
844,SRR10420157
845,SRR10420158
846,SRR10420159
847,SRR10420160
848,SRR10420161
849,SRR10420162
850,SRR10420163
851,SRR10420164
852,SRR10420165
853,SRR10420166
854,SRR10420167
855,SRR10420168
856,SRR10420169
857,SRR10420170
858,SRR10420171
859,SRR10420172
860,SRR10420173
861,SRR10420174
862,SRR10420175
863,SRR10420176
864,SRR10420177
865,SRR10420178
866,SRR10420179
